STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",01/01/2023,-4,16,-15,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",02/01/2023,12,19,0,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",03/01/2023,2,2,-7,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",04/01/2023,-6,2,-10,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",05/01/2023,4,12,-10,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",06/01/2023,-4,4,-10,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",07/01/2023,4,9,3,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",08/01/2023,7,8,4,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",09/01/2023,3,8,-15,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",10/01/2023,-2,8,-9,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",11/01/2023,2,6,-6,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",12/01/2023,1,7,-13,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",13/01/2023,-5,0,-15,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",14/01/2023,-12,10,-17,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",15/01/2023,1,7,-4,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",16/01/2023,3,12,-8,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",17/01/2023,1,8,-15,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",18/01/2023,-12,-9,-18,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",19/01/2023,-10,-4,-16,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",20/01/2023,-7,1,-14,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",21/01/2023,0,8,-15,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",22/01/2023,-12,-5,-32,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",23/01/2023,-11,-5,-12,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",24/01/2023,-4,0,-11,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",25/01/2023,-9,4,-14,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",26/01/2023,4,11,-9,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",27/01/2023,-2,9,-11,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",28/01/2023,9,18,7,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",29/01/2023,19,26,17,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",30/01/2023,24,26,20,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",31/01/2023,21,21,11,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",01/02/2023,12,14,8,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",02/02/2023,11,11,5,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",03/02/2023,7,12,0,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",04/02/2023,6,13,-7,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",05/02/2023,-6,7,-18,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",06/02/2023,0,11,-9,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",07/02/2023,1,7,-13,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",08/02/2023,0,5,-12,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",09/02/2023,-9,-1,-21,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",10/02/2023,-11,0,-20,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",11/02/2023,-5,7,-9,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",12/02/2023,-3,6,-5,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",13/02/2023,2,5,-7,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",14/02/2023,-6,10,-19,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",15/02/2023,-3,0,-20,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",16/02/2023,-14,-1,-25,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",17/02/2023,-8,11,-18,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",18/02/2023,7,18,-6,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",19/02/2023,4,8,-3,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",20/02/2023,8,14,6,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",21/02/2023,14,19,-5,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",22/02/2023,8,20,3,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",23/02/2023,19,24,16,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",24/02/2023,23,28,2,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",25/02/2023,15,19,-5,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",26/02/2023,6,12,-28,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",27/02/2023,-17,-4,-33,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",28/02/2023,-14,15,-28,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",01/03/2023,9,16,-3,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",02/03/2023,8,11,1,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",03/03/2023,2,4,-25,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",04/03/2023,-18,3,-34,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",05/03/2023,-2,18,-13,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",06/03/2023,11,27,-1,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",07/03/2023,23,38,9,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",08/03/2023,20,31,5,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",09/03/2023,28,31,21,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",10/03/2023,16,21,-5,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",11/03/2023,0,20,-15,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",12/03/2023,2,12,-10,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",13/03/2023,4,9,-16,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",14/03/2023,-6,11,-23,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",15/03/2023,2,10,-3,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",16/03/2023,0,7,-14,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",17/03/2023,-5,22,-20,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",18/03/2023,14,33,2,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",19/03/2023,26,42,6,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",20/03/2023,16,39,-3,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",21/03/2023,18,37,0,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",22/03/2023,20,42,0,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",23/03/2023,29,33,8,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",24/03/2023,18,24,0,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",25/03/2023,9,21,-6,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",26/03/2023,13,34,0,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",27/03/2023,32,42,29,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",28/03/2023,30,32,7,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",29/03/2023,18,35,5,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",30/03/2023,25,37,17,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",31/03/2023,23,25,10,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",01/04/2023,18,29,2,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",02/04/2023,26,31,14,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",03/04/2023,16,34,-7,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",04/04/2023,27,40,18,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",05/04/2023,29,28,17,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",06/04/2023,16,19,5,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",07/04/2023,6,22,-14,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",08/04/2023,9,17,-5,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",09/04/2023,9,11,-1,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",10/04/2023,2,13,-10,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",11/04/2023,4,16,-13,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",12/04/2023,16,24,12,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",13/04/2023,11,25,-13,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",14/04/2023,17,38,2,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",15/04/2023,27,38,14,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",16/04/2023,27,33,20,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",17/04/2023,24,34,10,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",18/04/2023,28,29,21,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",19/04/2023,25,42,15,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",20/04/2023,33,46,22,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",21/04/2023,34,44,21,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",22/04/2023,33,35,14,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",23/04/2023,15,17,8,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",24/04/2023,16,28,10,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",25/04/2023,23,41,13,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",26/04/2023,33,40,23,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",27/04/2023,36,47,26,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",28/04/2023,38,50,26,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",29/04/2023,39,54,25,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",30/04/2023,43,50,37,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",01/05/2023,44,58,31,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",02/05/2023,44,50,33,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",03/05/2023,41,48,30,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",04/05/2023,40,50,30,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",05/05/2023,42,57,29,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",06/05/2023,47,54,33,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",07/05/2023,43,55,30,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",08/05/2023,47,58,35,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",09/05/2023,47,57,34,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",10/05/2023,48,64,33,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",11/05/2023,52,62,40,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",12/05/2023,50,67,34,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",13/05/2023,56,67,38,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",14/05/2023,53,65,35,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",15/05/2023,55,63,39,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",16/05/2023,54,70,36,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",17/05/2023,51,65,37,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",18/05/2023,51,66,37,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",19/05/2023,61,80,46,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",20/05/2023,69,75,60,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",21/05/2023,63,73,51,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",22/05/2023,56,63,47,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",23/05/2023,55,70,41,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",24/05/2023,59,70,44,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",25/05/2023,61,75,46,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",26/05/2023,63,63,50,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",27/05/2023,55,69,42,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",28/05/2023,60,65,49,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",29/05/2023,51,51,47,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",30/05/2023,47,50,44,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",31/05/2023,49,57,40,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",01/06/2023,45,49,33,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",02/06/2023,43,50,39,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",03/06/2023,49,64,42,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",04/06/2023,56,65,46,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",05/06/2023,59,76,46,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",06/06/2023,66,80,48,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",07/06/2023,68,79,51,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",08/06/2023,65,73,52,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",09/06/2023,65,70,55,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",10/06/2023,62,70,50,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",11/06/2023,62,67,51,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",12/06/2023,60,65,52,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",13/06/2023,56,66,48,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",14/06/2023,54,63,45,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",15/06/2023,57,71,45,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",16/06/2023,66,78,59,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",17/06/2023,66,77,56,
